epoch,train_loss,val_loss
1,0.3288891022665459,0.1267708900523696
2,0.12151454101529038,0.05574023893817711
3,0.08322843504056596,0.04334492366159996
4,0.06871366196949232,0.03739484832608019
5,0.0601917330600452,0.024557662474721884
6,0.051030413394695835,0.018007316805693025
7,0.03680301782789461,0.01545210702974679
8,0.02746438065118957,0.009503760602766788
9,0.022524348692968488,0.016019570332749387
10,0.024394431587496542,0.014087355450490195
11,0.018532782656205983,0.0064845885366644675
12,0.018995139186205177,0.003850528842612853
13,0.01809126000622647,0.007987572951893177
14,0.02683009063261316,0.00980138981254264
15,0.015884600528679266,0.006521649533541289
16,0.014157607870609417,0.00654565007135754
17,0.014458825033088624,0.007185362330472319
18,0.018373272853000742,0.002407373171370157
19,0.007977289901055772,0.002646893980754827
20,0.015193634842657238,0.006651494663432761
21,0.007841180989584117,0.0007835125999792812
22,0.005323983140681919,0.0007122375673100634
23,0.006386499170810311,0.005852641395177336
24,0.022917517301832783,0.006546961774890352
25,0.01406283099270679,0.0029430812124213394
26,0.008677839705150722,0.001137355509063473
27,0.010856562323680376,0.0016702692759016893
28,0.0064685348308494055,0.0005807923298223354
29,0.006618601005532567,0.0006578907717516893
30,0.008847400955314617,0.0029247234981238986
