image_seg_name,curvature,steer,throttle,brake
frame_12557_seg.png,0,-0.0,0.0,0.0
frame_12607_seg.png,0,-0.0,0.0,0.0
frame_12707_seg.png,1,-0.0,0.0,0.0
frame_12757_seg.png,1,-0.0,0.0,0.0
frame_12807_seg.png,1,-0.0,0.0,0.0
frame_12857_seg.png,1,-0.0,0.0,0.0
frame_12907_seg.png,0,-0.0,0.0,0.0
frame_12957_seg.png,0,-0.0,0.0,0.0
frame_13007_seg.png,0,-0.0,0.0,0.0
frame_13057_seg.png,0,-0.0,0.0,0.0
frame_13107_seg.png,0,-0.0,0.0,0.0
frame_13157_seg.png,0,-0.0,0.0,0.0
frame_13207_seg.png,0,-0.0,0.0,0.0
frame_13257_seg.png,0,-0.0,0.0,0.0
frame_13307_seg.png,0,-0.0,0.0,0.0
frame_13357_seg.png,0,-0.0,0.68,0.0
frame_13407_seg.png,0,-0.0,1.0,0.0
frame_13457_seg.png,0,-0.0,1.0,0.0
frame_13507_seg.png,0,-0.0,1.0,0.0
frame_13557_seg.png,0,-0.0,1.0,0.0
frame_13607_seg.png,0,-0.0,1.0,0.0
frame_13657_seg.png,0,-0.0,1.0,0.0
frame_13707_seg.png,0,-0.0,1.0,0.0
frame_13757_seg.png,0,-0.0,1.0,0.0
frame_13807_seg.png,0,-0.0,1.0,0.0
frame_13857_seg.png,0,-0.0,1.0,0.0
frame_13907_seg.png,0,-0.0,1.0,0.0
frame_13957_seg.png,0,-0.0,1.0,0.0
frame_14007_seg.png,1,-0.0,1.0,0.0
frame_14057_seg.png,1,-0.0,1.0,0.0
frame_14107_seg.png,1,-0.0,0.68,0.0
frame_14157_seg.png,1,-0.0,0.0,0.0
frame_14207_seg.png,0,-0.0,0.0,0.0
frame_14257_seg.png,0,-0.0,0.43,0.0
frame_14307_seg.png,0,-0.0,0.69,0.0
frame_14357_seg.png,0,-0.0,0.73,0.0
frame_14407_seg.png,0,-0.0,0.68,0.0
frame_14457_seg.png,0,-0.0,0.65,0.0
frame_14507_seg.png,0,-0.0,0.62,0.0
frame_14557_seg.png,0,-0.0,0.56,0.0
frame_14607_seg.png,0,-0.0,0.54,0.0
frame_14657_seg.png,0,-0.0,0.59,0.0
frame_14707_seg.png,0,-0.0,0.62,0.0
frame_14757_seg.png,0,-0.0,0.64,0.0
frame_14807_seg.png,0,-0.0,0.71,0.0
frame_14857_seg.png,0,-0.0,0.8,0.0
frame_14907_seg.png,0,-0.0,0.8,0.0
frame_14957_seg.png,0,-0.0,0.82,0.0
frame_15007_seg.png,0,-0.0,0.88,0.0
frame_15057_seg.png,0,0.0,0.64,0.0
frame_15107_seg.png,0,0.0,0.07,0.0
frame_15157_seg.png,0,0.0,0.4,0.0
frame_15207_seg.png,0,0.0,0.72,0.0
frame_15257_seg.png,0,0.0,0.72,0.0
frame_15307_seg.png,0,0.0,0.87,0.0
frame_15357_seg.png,1,0.0,0.76,0.0
frame_15407_seg.png,1,0.0,0.72,0.0
frame_15457_seg.png,1,0.0,0.73,0.0
frame_15507_seg.png,0,0.0,0.73,0.0
frame_15557_seg.png,0,0.0,0.74,0.0
frame_15607_seg.png,0,0.0,0.75,0.0
frame_15657_seg.png,0,0.0,0.75,0.0
frame_15707_seg.png,0,0.0,0.75,0.0
frame_15757_seg.png,0,0.0,0.75,0.0
frame_16757_seg.png,0,0.0,1.0,0.0
frame_16807_seg.png,0,0.11,1.0,0.0
