image_seg_name,curvature,steer,throttle,brake
frame_13474_seg.png,0,-0.0,0.0,0.0
frame_13524_seg.png,0,-0.0,0.0,0.0
frame_13624_seg.png,1,-0.0,0.0,0.0
frame_13674_seg.png,1,-0.0,0.0,0.0
frame_13724_seg.png,1,-0.0,0.0,0.0
frame_13774_seg.png,1,-0.0,0.0,0.0
frame_13824_seg.png,0,-0.0,0.0,0.0
frame_13874_seg.png,0,-0.0,0.0,0.0
frame_13924_seg.png,0,-0.0,0.0,0.0
frame_13974_seg.png,0,-0.0,0.0,0.0
frame_14024_seg.png,0,-0.0,0.0,0.0
frame_14074_seg.png,0,-0.0,0.0,0.0
frame_14124_seg.png,0,-0.0,0.0,0.0
frame_14174_seg.png,0,-0.0,0.0,0.0
frame_14224_seg.png,0,-0.0,0.0,0.0
frame_14274_seg.png,0,-0.0,0.0,0.0
frame_14324_seg.png,0,-0.0,0.0,0.0
frame_14374_seg.png,0,-0.0,0.0,0.0
frame_14424_seg.png,0,-0.0,0.0,0.0
frame_14474_seg.png,0,-0.0,0.0,0.0
frame_14524_seg.png,0,-0.0,0.0,0.0
frame_14574_seg.png,0,-0.0,0.0,0.0
frame_14624_seg.png,0,-0.0,0.0,0.0
frame_14674_seg.png,0,-0.0,0.0,0.0
frame_14724_seg.png,0,-0.0,1.0,0.0
frame_14774_seg.png,0,-0.0,1.0,0.0
frame_14824_seg.png,0,-0.0,1.0,0.0
frame_14874_seg.png,0,-0.0,1.0,0.0
frame_14924_seg.png,0,-0.0,1.0,0.0
frame_14974_seg.png,0,-0.0,1.0,0.0
frame_15024_seg.png,0,-0.0,1.0,0.0
frame_15074_seg.png,0,-0.0,1.0,0.0
frame_15124_seg.png,0,-0.0,1.0,0.0
frame_15174_seg.png,0,-0.0,1.0,0.0
frame_15224_seg.png,0,-0.0,1.0,0.0
frame_15274_seg.png,0,-0.0,1.0,0.0
frame_15324_seg.png,0,-0.0,1.0,0.0
frame_15374_seg.png,1,-0.0,1.0,0.0
frame_15424_seg.png,1,-0.0,1.0,0.0
frame_15474_seg.png,1,-0.0,1.0,0.0
frame_15524_seg.png,1,-0.0,1.0,0.0
frame_15574_seg.png,0,-0.0,1.0,0.0
frame_15624_seg.png,0,-0.0,1.0,0.0
frame_15674_seg.png,0,-0.0,1.0,0.0
frame_15724_seg.png,0,-0.0,1.0,0.0
frame_15774_seg.png,0,-0.0,1.0,0.0
frame_15824_seg.png,0,-0.0,1.0,0.0
frame_15874_seg.png,0,-0.0,1.0,0.0
frame_15924_seg.png,0,-0.0,1.0,0.0
frame_16924_seg.png,0,-0.0,1.0,0.0
frame_16974_seg.png,0,-0.0,1.0,0.0
frame_17024_seg.png,0,-0.0,1.0,0.0
frame_17074_seg.png,0,-0.0,1.0,0.0
frame_17124_seg.png,0,-0.0,1.0,0.0
frame_17174_seg.png,0,-0.0,1.0,0.0
frame_17224_seg.png,0,-0.0,1.0,0.0
frame_17274_seg.png,0,-0.0,1.0,0.0
frame_17324_seg.png,0,-0.0,1.0,0.0
frame_17374_seg.png,0,-0.0,1.0,0.0
frame_17424_seg.png,0,-0.0,0.91,0.0
frame_17474_seg.png,1,-0.0,0.0,0.0
frame_17524_seg.png,0,-0.0,0.0,0.0
frame_17574_seg.png,0,-0.0,0.18,0.0
frame_17624_seg.png,0,-0.0,1.0,0.0
frame_17674_seg.png,0,-0.0,1.0,0.0
frame_17724_seg.png,0,-0.0,1.0,0.0
frame_17774_seg.png,0,-0.0,1.0,0.0
frame_17824_seg.png,0,-0.0,1.0,0.0
frame_17874_seg.png,0,-0.0,1.0,0.0
frame_17924_seg.png,0,-0.0,1.0,0.0
frame_17974_seg.png,0,-0.0,1.0,0.0
frame_18024_seg.png,0,-0.0,1.0,0.0
frame_18074_seg.png,0,-0.0,1.0,0.0
frame_18124_seg.png,0,-0.0,1.0,0.0
frame_18174_seg.png,0,-0.0,1.0,0.0
frame_18224_seg.png,0,-0.0,1.0,0.0
frame_18274_seg.png,0,-0.01,1.0,0.0
frame_18324_seg.png,1,-0.15,1.0,0.0
frame_18374_seg.png,1,-0.28,1.0,0.0
frame_18424_seg.png,1,-0.42,1.0,0.0
frame_18474_seg.png,1,-0.56,1.0,0.0
frame_18524_seg.png,1,-0.69,1.0,0.0
frame_18574_seg.png,1,-0.7,1.0,0.0
frame_18624_seg.png,1,-0.7,0.55,0.0
frame_18674_seg.png,1,-0.7,0.0,0.0
frame_18724_seg.png,1,-0.7,0.0,0.0
frame_18774_seg.png,1,-0.56,0.0,0.0
frame_18824_seg.png,1,-0.42,0.12,0.0
frame_18874_seg.png,1,-0.28,0.25,0.0
frame_18924_seg.png,1,-0.14,0.3,0.0
frame_18974_seg.png,1,0.01,0.3,0.0
frame_19024_seg.png,1,0.15,0.3,0.0
frame_19074_seg.png,1,0.29,0.3,0.0
frame_19124_seg.png,1,0.43,0.3,0.0
frame_19174_seg.png,1,0.57,0.29,0.0
frame_19224_seg.png,1,0.7,0.29,0.0
frame_19274_seg.png,1,0.7,0.3,0.0
frame_19324_seg.png,1,0.7,0.3,0.0
frame_19374_seg.png,1,0.7,0.3,0.0
frame_19424_seg.png,1,0.7,0.31,0.0
frame_19474_seg.png,1,0.7,0.3,0.0
frame_19524_seg.png,1,0.7,0.31,0.0
frame_19574_seg.png,1,0.7,0.31,0.0
frame_19624_seg.png,1,0.7,0.31,0.0
frame_19674_seg.png,1,0.7,0.26,0.0
frame_19724_seg.png,1,0.7,0.27,0.0
frame_19774_seg.png,1,0.7,0.29,0.0
frame_19824_seg.png,1,0.7,0.32,0.0
frame_19874_seg.png,1,0.7,0.36,0.0
frame_19924_seg.png,1,0.7,0.4,0.0
frame_19974_seg.png,1,0.7,0.4,0.0
frame_20024_seg.png,1,0.7,0.45,0.0
frame_20074_seg.png,1,0.7,0.95,0.0
frame_20124_seg.png,1,0.7,1.0,0.0
frame_20174_seg.png,1,0.7,1.0,0.0
frame_20224_seg.png,1,0.7,1.0,0.0
